,,All,boy,girl
Radial SOS,n,406.0,209.0,197.0
Radial SOS,mean,3816.0837438423646,3806.622009569378,3826.1218274111675
Radial SOS,std,100.00840893915684,96.9498566556835,102.44637910908266
tibial SOS,n,406.0,209.0,197.0
tibial SOS,mean,3687.411330049261,3676.4593301435407,3699.0304568527918
tibial SOS,std,109.41663840660577,101.31524261475953,116.53855053811556
grip strength,n,363.0,185.0,178.0
grip strength,mean,23.425702479338838,24.895945945945947,21.8976404494382
grip strength,std,7.400601382138764,8.548553608734645,5.606951098034986
knee extensors,n,406.0,209.0,197.0
knee extensors,mean,131.47563689854672,139.09904306220093,123.38786081629443
knee extensors,std,57.727544293965934,65.70165375979646,46.66109225152657
ntx creatine,n,376.0,193.0,183.0
ntx creatine,mean,539.8239053690421,544.5568968709846,534.8322804516941
ntx creatine,std,263.64747298158096,230.2898814965673,295.3387388964932
caloric intake,n,404.0,209.0,195.0
caloric intake,mean,1593.4334883663364,1724.1127990430623,1453.3720733333332
caloric intake,std,479.50869546248117,503.0761218338746,410.08520390583703
maturity offset,n,406.0,209.0,197.0
maturity offset,mean,-0.8572413793103447,-1.607416267942583,-0.061370558375634626
maturity offset,std,2.018660055731156,1.8651544130558664,1.8686191152025065
MVH,n,298.0,145.0,153.0
MVH,mean,107.0477516778523,114.86089655172415,99.64313725490199
MVH,std,41.53228391728461,42.59012111454631,39.224375434808046
