,,All,boy,girl
knee extensors,Mean,131.47563689854672,139.09904306220093,123.38786081629443
knee extensors,Standard deviation,57.727544293965934,65.70165375979646,46.66109225152657
knee extensors,Observations,406.0,209.0,197.0
boys,Mean,0.5147783251231527,1.0,0.0
boys,Standard deviation,0.5003981872475602,0.0,0.0
boys,Observations,406.0,209.0,197.0
caloric intake,Mean,1593.4334883663364,1724.1127990430623,1453.3720733333332
caloric intake,Standard deviation,479.50869546248117,503.0761218338746,410.08520390583703
caloric intake,Observations,404.0,209.0,195.0
girls,Mean,0.4852216748768473,0.0,1.0
girls,Standard deviation,0.5003981872475604,0.0,0.0
girls,Observations,406.0,209.0,197.0
grip strength,Mean,23.425702479338838,24.895945945945947,21.8976404494382
grip strength,Standard deviation,7.400601382138764,8.548553608734645,5.606951098034986
grip strength,Observations,363.0,185.0,178.0
id,Mean,333.04433497536945,142.99043062200957,534.6751269035533
id,Standard deviation,197.61565891103024,27.18526015187664,23.046891875291195
id,Observations,406.0,209.0,197.0
maturity offset,Mean,-0.8572413793103447,-1.607416267942583,-0.061370558375634626
maturity offset,Standard deviation,2.018660055731156,1.8651544130558664,1.8686191152025065
maturity offset,Observations,406.0,209.0,197.0
MVH,Mean,107.0477516778523,114.86089655172415,99.64313725490199
MVH,Standard deviation,41.53228391728461,42.59012111454631,39.224375434808046
MVH,Observations,298.0,145.0,153.0
ntx creatine,Mean,539.8239053690421,544.5568968709846,534.8322804516941
ntx creatine,Standard deviation,263.64747298158096,230.2898814965673,295.3387388964932
ntx creatine,Observations,376.0,193.0,183.0
Radial SOS,Mean,3816.0837438423646,3806.622009569378,3826.1218274111675
Radial SOS,Standard deviation,100.00840893915684,96.9498566556835,102.44637910908266
Radial SOS,Observations,406.0,209.0,197.0
trip,Mean,1.8596059113300492,1.8181818181818181,1.9035532994923858
trip,Standard deviation,0.8819136557296873,0.863498332731089,0.9011543410422896
trip,Observations,406.0,209.0,197.0
tibial SOS,Mean,3687.411330049261,3676.4593301435407,3699.0304568527918
tibial SOS,Standard deviation,109.41663840660577,101.31524261475953,116.53855053811556
tibial SOS,Observations,406.0,209.0,197.0
